Experiment,Model,Simulator,Quant,MemConfig,BatchSize,TPS,Prefill_TPS,Cold_Load_s,Read_Op_Pct,Write_Op_Pct,Write_Util_Pct,Write_Stall_Time_s,Write_Stall_Pct,Write_Stall_Count,Write_Stall_Freq_Pct,Per_Token_Stall_Min_Pct,Per_Token_Stall_Max_Pct,Per_Token_Stall_Mean_Pct,Token_Time_s,Stall_Pct_of_Token
Memory,72,SemSched,fp32,16GB_Host+32GB_CXL,128,5.250811,4.63,0.0,99.9998,0.0002,0.0246,0.000409,0.0031,160.0,0.0,0.003071,0.003082,0.0030765000000000002,0.0,0.0
Memory,72,FlexGen,fp32,16GB_Host+64GB_CXL,128,2.077998,4.518,0.0,99.9998,0.0002,0.0,0.002249,0.0037,80.0,0.0,0.0036,0.0037,0.00366875,0.0,0.0
Memory,72,LIA,fp32,16GB_Host+64GB_CXL,128,2.505571,4.481,0.0,99.9998,0.0002,0.0,0.002249,0.0044,0.0,0.0,0.0044,0.0044,0.0044,0.0,0.0
Memory,72,LLMFlash,fp32,16GB_Host+64GB_CXL,128,4.3613,0.0,0.0,99.9721,0.0279,0.0,0.003035,0.0103,0.0,0.0,0.0103,0.0104,0.01030625,0.0,0.0
Memory,72,CXLAimPod,fp32,16GB_Host+64GB_CXL,128,2.642687,4.516,0.0,99.9945,0.0055,0.0,0.003268,0.0067,0.0,0.0,0.0067,0.0067,0.0067,0.0,0.0
Memory,72,SemSched,fp32,16GB_Host+64GB_CXL,128,5.631693,4.63,0.0,99.9998,0.0002,0.0246,0.000409,0.0031,160.0,0.0,0.003071,0.003082,0.0030765000000000002,0.0,0.0
Memory,72,FlexGen,fp32,32GB_Host+32GB_CXL,128,2.196048,4.518,0.0,99.9998,0.0002,0.0,0.002249,0.0039,80.0,0.0,0.0039,0.0039,0.0039,0.0,0.0
Memory,72,LIA,fp32,32GB_Host+32GB_CXL,128,2.262234,4.481,0.0,99.9998,0.0002,0.0,0.002249,0.004,0.0,0.0,0.004,0.004,0.004,0.0,0.0
Memory,72,LLMFlash,fp32,32GB_Host+32GB_CXL,128,4.2193,0.0,0.0,99.9715,0.0285,0.0,0.002701,0.0089,0.0,0.0,0.0089,0.0089,0.0089,0.0,0.0
Memory,72,CXLAimPod,fp32,32GB_Host+32GB_CXL,128,2.531125,4.516,0.0,99.9945,0.0055,0.0,0.003268,0.0065,0.0,0.0,0.0065,0.0065,0.0065,0.0,0.0
Memory,72,SemSched,fp32,32GB_Host+32GB_CXL,128,5.239562,4.64,0.0,99.9998,0.0002,0.025,0.000981,0.0075,384.0,0.0,0.007485,0.007513,0.007499375,0.0,0.0
Memory,72,FlexGen,fp32,32GB_Host+64GB_CXL,128,2.196048,4.518,0.0,99.9998,0.0002,0.0,0.002249,0.0039,80.0,0.0,0.0039,0.0039,0.0039,0.0,0.0
Memory,72,LIA,fp32,32GB_Host+64GB_CXL,128,2.505571,4.481,0.0,99.9998,0.0002,0.0,0.002249,0.0044,0.0,0.0,0.0044,0.0044,0.0044,0.0,0.0
Memory,72,LLMFlash,fp32,32GB_Host+64GB_CXL,128,4.6398,0.0,0.0,99.9717,0.0283,0.0,0.002878,0.0104,0.0,0.0,0.0104,0.0104,0.0104,0.0,0.0
Memory,72,CXLAimPod,fp32,32GB_Host+64GB_CXL,128,2.827686,4.516,0.0,99.9945,0.0055,0.0,0.003268,0.0072,0.0,0.0,0.0072,0.0072,0.0072,0.0,0.0
Memory,72,SemSched,fp32,32GB_Host+64GB_CXL,128,5.696212,4.64,0.0,99.9998,0.0002,0.025,0.000981,0.0075,384.0,0.0,0.007485,0.007513,0.007499375,0.0,0.0
Memory,72,FlexGen,fp16,16GB_Host+32GB_CXL,128,4.392097,4.524,0.0,99.9998,0.0002,0.0,0.001124,0.0039,80.0,0.0,0.0039,0.0039,0.0039,0.0,0.0
Memory,72,LIA,fp16,16GB_Host+32GB_CXL,128,5.011142,4.505,0.0,99.9998,0.0002,0.0,0.001124,0.0044,0.0,0.0,0.0044,0.0044,0.0044,0.0,0.0
Memory,72,LLMFlash,fp16,16GB_Host+32GB_CXL,128,9.2795,0.1,0.0,99.9717,0.0283,0.0,0.001465,0.0106,0.0,0.0,0.0106,0.0106,0.0106,0.0,0.0
Memory,72,CXLAimPod,fp16,16GB_Host+32GB_CXL,128,5.655371,4.523,0.0,99.9945,0.0055,0.0,0.001634,0.0072,0.0,0.0,0.0072,0.0072,0.0072,0.0,0.0
Memory,72,SemSched,fp16,16GB_Host+32GB_CXL,128,11.392381,4.89,0.0,99.9998,0.0002,0.025,0.00049,0.0075,384.0,0.0,0.007485,0.007513,0.007499375,0.0,0.0
Memory,72,FlexGen,fp16,16GB_Host+64GB_CXL,128,4.392097,4.524,0.0,99.9998,0.0002,0.0,0.001124,0.0039,80.0,0.0,0.0039,0.0039,0.0039,0.0,0.0
Memory,72,LIA,fp16,16GB_Host+64GB_CXL,128,6.483402,4.505,0.0,99.9998,0.0002,0.0,0.001124,0.0057,0.0,0.0,0.0057,0.0057,0.0057,0.0,0.0
Memory,72,LLMFlash,fp16,16GB_Host+64GB_CXL,128,11.7256,0.1,0.0,99.9699,0.0301,0.0,0.001546,0.0142,0.0,0.0,0.0141,0.0142,0.014193750000000002,0.0,0.0
Memory,72,CXLAimPod,fp16,16GB_Host+64GB_CXL,128,7.513935,4.523,0.0,99.9945,0.0055,0.0,0.001634,0.0096,0.0,0.0,0.0096,0.0096,0.0096,0.0,0.0
Memory,72,SemSched,fp16,16GB_Host+64GB_CXL,128,19.579292,4.89,0.0,99.9998,0.0002,0.025,0.00049,0.0075,384.0,0.0,0.007485,0.007513,0.007499375,0.0,0.0
Memory,72,FlexGen,fp16,32GB_Host+32GB_CXL,128,4.955089,4.524,0.0,99.9998,0.0002,0.0,0.001124,0.0044,80.0,0.0,0.0044,0.0044,0.0044,0.0,0.0
Memory,72,LIA,fp16,32GB_Host+32GB_CXL,128,5.011142,4.505,0.0,99.9998,0.0002,0.0,0.001124,0.0044,0.0,0.0,0.0044,0.0044,0.0044,0.0,0.0
Memory,72,LLMFlash,fp16,32GB_Host+32GB_CXL,128,10.5836,0.1,0.0,99.9708,0.0292,0.0,0.001373,0.0114,0.0,0.0,0.0113,0.0114,0.01135625,0.0,0.0
Memory,72,CXLAimPod,fp16,32GB_Host+32GB_CXL,128,6.470728,4.523,0.0,99.9945,0.0055,0.0,0.001634,0.0083,0.0,0.0,0.0083,0.0083,0.0083,0.0,0.0
Memory,72,SemSched,fp16,32GB_Host+32GB_CXL,128,11.536597,4.9,0.0,99.9998,0.0002,0.0258,0.001062,0.0168,832.0,0.0,0.016742,0.016807,0.0167745,0.0,0.0
Memory,72,FlexGen,fp16,32GB_Host+64GB_CXL,128,4.955089,4.524,0.0,99.9998,0.0002,0.0,0.001124,0.0044,80.0,0.0,0.0044,0.0044,0.0044,0.0,0.0
Memory,72,LIA,fp16,32GB_Host+64GB_CXL,128,6.483402,4.505,0.0,99.9998,0.0002,0.0,0.001124,0.0057,0.0,0.0,0.0057,0.0057,0.0057,0.0,0.0
